"","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Greenland",-1.256,-1.371,-0.442,-0.345,0.652,0.371,1.253,0.503,0.824,0.818,1.173,2.314,1.454,1.866,1.707,1.35,0.941,0.832,3.039,1.672,1.612,1.363,1.419,0.184,2.346,1.184,0.912,2.211,1.325
"Grenada",0.303,0.372,0.378,0.595,0.344,0.436,0.988,0.445,0.24,0.466,0.421,0.746,0.34,0.866,0.575,0.515,0.383,0.403,1.132,0.645,0.489,0.595,0.51,0.704,0.802,0.748,0.333,0.566,0.823
"Guadeloupe",0.233,0.375,0.442,0.526,0.287,0.46,0.979,0.435,0.136,0.434,0.544,0.678,0.346,0.648,0.468,0.673,0.157,0.389,0.974,0.371,0.504,0.558,0.544,0.803,0.916,0.666,0.486,0.694,1.039
"Guatemala",0.481,0.378,0.654,0.675,0.17,0.785,0.962,0.661,0.383,0.455,0.702,0.887,0.62,0.778,0.567,0.732,0.417,1.021,0.715,0.701,0.512,0.684,0.602,1.184,1.386,1.029,0.865,1.408,1.714
"Guinea",0.426,0.793,0.62,0.682,0.957,0.875,1.213,0.567,0.686,0.962,1.308,1.235,1.256,1.37,1.32,1.184,1.311,1.139,1.543,1.265,0.722,1.305,1.181,1.432,1.442,1.807,1.53,1.797,1.683
"Guinea-Bissau",0.978,1.183,0.929,1.016,1.161,1.355,1.772,0.978,1.179,1.415,1.51,1.236,1.306,1.64,1.428,1.333,1.626,1.165,1.643,1.413,1.179,1.458,1.689,1.722,2.038,2.171,1.618,1.939,2.2
"Guyana",0.118,0.351,0.518,0.932,0.559,0.682,1.284,0.462,0.55,0.691,0.79,1.202,0.998,1.099,0.932,0.914,0.731,1.249,1.153,0.809,0.902,0.953,1.297,1.589,1.64,1.307,1.411,1.301,1.499
"Haiti",0.442,0.371,1.078,0.889,0.363,1.078,1.127,1.177,0.825,0.627,0.854,1.163,0.83,1.004,0.825,1.024,0.663,0.779,1.028,0.436,0.742,0.971,1.193,1.256,1.189,0.985,1.106,1.356,1.284
"Holy See",0.559,0.507,1.504,0.228,0.389,0.885,0.967,0.822,1.217,1.583,0.854,1.615,0.601,0.539,0.718,1.433,1.077,1.141,0.861,1.117,1.61,0.976,1.459,1.614,1.688,1.383,1.935,1.654,1.629
"Honduras",0.501,0.212,0.781,0.9,0.12,0.86,1.091,0.451,0.13,0.39,0.804,0.763,0.65,1.127,0.765,0.932,0.709,0.948,0.928,0.843,0.752,1.022,0.778,1.223,1.449,1.095,0.819,1.252,1.853
"Hungary",0.924,0.086,1.761,0.65,-0.316,-0.125,1.102,0.626,1.764,1.42,1.453,0.74,0.582,0.268,0.723,2.166,1.518,1.637,0.831,0.915,1.755,1.185,2.248,2.103,1.929,1.383,2.579,2.411,2.048
"Iceland",0.215,0.206,-0.115,-0.349,0.545,0.417,0.223,0.489,0.316,0.623,0.834,1.855,1.305,0.518,1.103,1.169,0.821,0.98,1.233,1.041,0.763,0.776,1.706,0.462,1.453,1.736,0.859,1.366,0.798
"India",0.031,0.214,0.09,0.208,0.319,-0.083,0.569,0.448,0.339,0.472,0.832,0.675,0.563,0.58,0.643,0.604,0.248,1.118,1.101,0.323,0.451,0.397,0.492,0.653,1.048,0.949,0.855,0.772,0.461
"Indonesia",0.264,0.206,0.267,0.344,0.387,0.397,0.997,0.265,0.271,0.515,0.608,0.567,0.524,0.702,0.416,0.485,0.278,0.586,0.797,0.349,0.443,0.782,0.768,0.789,1.455,0.968,0.881,1.056,1.259
"Iran (Islamic Republic of)",-0.774,-0.029,0.804,0.692,0.238,0.647,1.157,1.634,1.188,1.491,1.666,0.883,1.463,0.807,1.822,0.857,1.135,1.166,2.2,1.335,1.09,1.638,1.063,1.835,1.64,1.746,2.036,1.616,1.36
"Iraq",-1.253,-0.549,0.92,0.276,0.718,0.212,1.187,1.805,0.87,1.171,1.048,0.848,0.954,0.404,1.5,0.854,1.033,0.72,2.536,0.749,1.145,1.139,1.075,1.808,1.513,1.452,2.303,1.639,1.781
"Ireland",0.425,0.045,0.267,1.182,-0.02,0.966,0.927,1.062,0.555,0.538,0.821,1.015,0.887,1.164,1.148,1.346,0.846,0.814,-0.092,0.574,0.727,0.611,1.362,0.437,1.047,1.281,0.801,1.222,1.103
"Isle of Man",0.44,-0.054,0.257,1.153,-0.121,0.916,0.921,1.103,0.619,0.51,0.889,1.048,0.948,1.164,1.222,1.309,0.812,0.857,-0.123,0.672,0.611,0.453,1.507,0.402,1.11,1.374,0.886,1.184,1.211
"Israel",-1.111,-0.445,0.721,-0.23,0.258,-0.22,0.779,0.773,0.157,0.769,0.647,0.477,0.477,0.115,0.501,0.433,0.637,0.733,2.226,0.473,0.926,1.014,0.767,1.237,1.527,0.647,1.881,1.071,1.309
"Italy",0.546,0.533,1.528,0.436,0.252,0.943,0.966,0.92,1.254,1.553,0.938,1.54,0.769,0.587,0.865,1.576,1.149,1.24,0.745,1.242,1.54,1.009,1.642,1.74,1.739,1.618,1.873,1.709,1.903
"Jamaica",0.856,0.475,0.968,0.932,0.252,0.768,1.246,0.603,0.292,0.549,0.794,0.961,0.791,0.881,0.877,0.825,0.438,0.703,1.225,0.476,0.603,0.87,1.091,1.15,1.291,1.074,1.543,1.46,1.558
"Japan",0.309,-0.011,0.947,0.323,-0.154,0.425,1.173,0.919,0.6,0.383,0.599,0.293,1.089,0.706,0.357,0.97,0.642,0.778,0.899,0.578,0.369,0.596,0.53,0.815,1.304,0.774,0.899,1.247,1.413
"Jordan",-1.219,-0.612,0.836,-0.154,0.377,-0.286,0.893,0.925,0.255,0.864,0.547,0.38,0.5,-0.02,0.628,0.394,0.582,0.427,2.484,0.362,0.922,0.893,0.69,1.345,1.573,0.871,1.899,1.222,1.569
"Kazakhstan",0.268,-0.391,-0.06,2.026,-0.418,1.87,0.482,1.361,1.491,1.632,2.246,0.122,2.159,1.561,1.446,2.208,1.569,1.204,1.306,0.74,1.15,1.618,0.673,1.61,2.246,1.76,0.645,1.493,2.854
"Kenya",0.418,0.067,0.502,0.376,0.424,0.495,0.228,0.218,0.504,0.59,0.72,0.868,0.673,0.794,0.799,0.505,0.685,1.289,1.104,1.05,0.945,0.87,0.956,1.16,1.259,1.512,0.635,1.611,1.332
"Kuwait",-0.565,-0.125,0.952,0.192,0.908,0.519,1.345,2.075,1.177,1.301,1.631,1.584,1.54,0.751,1.93,1.113,1.431,1.258,2.546,1.329,1.538,1.433,1.505,2.083,1.586,1.925,2.315,1.834,1.911
"Kyrgyzstan",0.064,-0.092,0.285,0.46,-0.422,1.406,0.778,1.073,1.09,1.436,1.425,0.452,1.499,1.16,1.598,1.692,0.989,0.976,1.321,1.194,0.276,1.367,0.505,1.479,1.886,1.444,1.226,1.649,1.392
"Lao People's Democratic Republic",0.199,0.302,0.394,0.623,0.143,0.333,1.432,0.663,0.039,0.721,0.601,0.977,0.401,0.878,0.834,0.556,0.244,0.612,1.322,0.092,0.92,1.085,0.66,1.314,1.324,1.071,0.814,2.053,1.605
"Latvia",1.575,0.388,0.674,1.61,-0.428,0.75,0.643,1.545,2.004,1.814,1.716,0.242,1.014,1.343,1.071,2.189,2.388,1.502,0.676,1.123,1.378,1.052,2.294,2.143,1.904,1.467,2.327,2.426,3.513
"Lebanon",-1.074,-0.492,1.005,0.011,0.363,-0.143,0.95,1.043,0.502,1.105,0.792,0.604,0.629,0.265,0.696,0.693,0.957,0.829,2.308,0.609,0.977,1.183,1.01,1.413,1.695,1.107,2.202,1.467,1.711
"Lesotho",0.969,1.016,0.09,0.709,-0.233,0.214,0.887,1.208,0.305,0.558,0.485,0.662,0.707,0.75,0.023,0.574,0.31,0.316,1.06,0.185,0.559,0.557,0.635,1.135,1.792,0.826,0.717,1.557,0.667
"Liberia",0.264,0.542,0.592,0.75,0.677,0.985,1.26,0.747,0.505,0.691,1.033,1.056,0.921,1.127,1.149,1.071,1.226,1.418,1.447,1.119,0.894,1.008,0.963,1.33,1.523,1.538,1.367,1.552,1.63
"Libya",-0.41,0.279,0.415,0.26,0.448,0.401,0.693,1.184,0.237,1.218,0.825,0.859,0.654,0.63,0.72,0.842,0.87,0.756,2.068,0.752,0.677,1.122,1.202,0.692,1.504,0.471,1.695,0.968,1.28
"Liechtenstein",1.101,0.647,1.939,0.911,-0.022,0.954,1.212,0.977,1.462,1.445,1.395,1.686,0.921,0.69,0.987,1.964,1.421,1.435,0.507,1.677,1.635,0.952,2.254,2.073,2.057,1.829,2.333,2.148,2.423
"Lithuania",1.49,0.303,0.953,1.521,-0.512,0.526,0.747,1.494,2.03,1.809,1.92,0.189,0.886,1.21,0.926,2.2,2.225,1.394,0.756,0.949,1.357,0.96,2.23,2.096,1.94,1.535,2.423,2.638,3.43
"Madagascar",0.369,0.204,0.323,0.347,0.128,0.607,0.778,0.425,0.429,0.593,0.569,0.628,0.384,0.634,0.806,0.707,0.527,0.919,1.198,1.166,0.841,0.696,0.821,1.171,1.12,1.442,1.115,1.696,1.359
